Question	Correct Answer	Term	Actual Ancestor	Source	Question Ancestor
Is a 'centrally registered identifier symbol' an 'independent continuant'?	No	centrally registered identifier symbol	information content entity	IAO	independent continuant
Is a 'citation' an 'information content entity'?	Yes	citation	information content entity	IAO	information content entity
Is a 'graph' an 'independent continuant'?	No	graph	information content entity	IAO	independent continuant
Is an 'integer numeral' an 'information content entity'?	Yes	integer numeral	information content entity	IAO	information content entity
Is a 'photograph' a 'material entity'?	No	photograph	information content entity	IAO	material entity
Is a 'report' an 'information content entity'?	Yes	report	information content entity	IAO	information content entity
Is a 'software script' an 'anatomical entity'?	No	software script	information content entity	IAO	anatomical entity
Is an 'average value' an 'information content entity'?	Yes	average value	information content entity	OBI	information content entity
Is a 'service provision objective' a 'specifically dependent continuant'?	No	service provision objective	information content entity	OBI	specifically dependent continuant
Is a 'histaminergic neuron' a 'material entity'?	Yes	histaminergic neuron	material entity	CL	material entity
Is a 'macular hair cell' a 'generically dependent continuant'?	No	macular hair cell	material entity	CL	generically dependent continuant
Is a 'beerwurst' a 'material entity'?	Yes	beerwurst	material entity	FOODON	material entity
Is 'sausage casing' an 'information content entity'?	No	sausage casing	material entity	FOODON	information content entity
Is an 'infection' a 'material entity'?	Yes	infection	material entity	IDO	material entity
Is a 'primary pathogen' an 'occurrent'?	No	primary pathogen	material entity	IDO	occurrent
Is a 'container with environmental control' a 'material entity'?	Yes	container with environmental control	material entity	OBI	material entity
Is a 'laboratory coat' an 'occurrent'?	No	laboratory coat	material entity	OBI	occurrent
Is a 'glomerular epithelium' a 'material entity'?	Yes	glomerular epithelium	material entity	UBERON	material entity
Is a 'uvular muscle' a 'generically dependent continuant'?	No	uvular muscle	material entity	UBERON	generically dependent continuant
Is a 'colonization of host' an 'occurrent'?	Yes	colonization of host	occurrent	IDO	occurrent
Is an 'establishment of a clinically abnormal colony' a 'material entity'?	No	establishment of a clinically abnormal colony	occurrent	IDO	material entity
Is an 'infectious disease pandemic' an 'occurrent'?	Yes	infectious disease pandemic	occurrent	IDO	occurrent
Is an 'artificially induced methylation' an 'independent continuant'?	No	artificially induced methylation	occurrent	OBI	independent continuant
Is an 'ATP bioluminescence assay' an 'occurrent'?	Yes	ATP bioluminescence assay	occurrent	OBI	occurrent
Is a 'body mass change assay' an 'information content entity'?	No	body mass change assay	occurrent	OBI	information content entity
Is a 'ferritin assay' an 'occurrent'?	Yes	ferritin assay	occurrent	OBI	occurrent
Is an 'isolation of cell culture supernatant' a 'specifically dependent continuant'?	No	isolation of cell culture supernatant	occurrent	OBI	specifically dependent continuant
Is a 'methemoglobin assay' an 'occurrent'?	Yes	methemoglobin assay	occurrent	OBI	occurrent
Is a 'polynomial transformation' a 'generically dependent continuant'?	No	polynomial transformation	occurrent	OBI	generically dependent continuant
Is 'boiling without draining' a 'process'?	Yes	boiling without draining	process	FOODON	process
Is 'assigning a centrally registered identifier' an 'anatomical entity'?	No	assigning a centrally registered identifier	process	IAO	anatomical entity
Is an 'acute infectious disease course' a 'process'?	Yes	acute infectious disease course	process	IDO	process
Is a 'severe sepsis' an 'anatomical entity'?	No	severe sepsis	process	IDO	anatomical entity
Is an 'assay measuring binding of a MHC:ligand complex' a 'process'?	Yes	assay measuring binding of a MHC:ligand complex	process	OBI	process
Is a 'binding assay using fluorescence detection' an 'independent continuant'?	No	binding assay using fluorescence detection	process	OBI	independent continuant
Is a 'chromosome conformation capture-on-chip assay' a 'process'?	Yes	chromosome conformation capture-on-chip assay	process	OBI	process
Is a 'lyophilization storage' a 'characteristic'?	No	lyophilization storage	process	OBI	characteristic
Is a 'polyA RNA extraction' a 'process'?	Yes	polyA RNA extraction	process	OBI	process
Is a 'venous blood creatine kinase assay' an 'independent continuant'?	No	venous blood creatine kinase assay	process	OBI	independent continuant
Is 'blistered' a 'specifically dependent continuant'?	Yes	blistered	specifically dependent continuant	PATO	specifically dependent continuant
Is 'scaly' a 'process'?	No	scaly	specifically dependent continuant	PATO	process
Is 'elliptic' a 'specifically dependent continuant'?	Yes	elliptic	specifically dependent continuant	PATO	specifically dependent continuant
Is 'friable' an 'occurrent'?	No	friable	specifically dependent continuant	PATO	occurrent
Is a 'trial statistician role' a 'specifically dependent continuant'?	Yes	trial statistician role	specifically dependent continuant	PATO	specifically dependent continuant
Is 'phosphorylation' an 'anatomical entity'?	No	phosphorylation	specifically dependent continuant	PATO	anatomical entity
Is 'receptivity' a 'specifically dependent continuant'?	Yes	receptivity	specifically dependent continuant	PATO	specifically dependent continuant
Is 'refractile' a 'material entity'?	No	refractile	specifically dependent continuant	PATO	material entity
Is 'sexually dimorphic' a 'specifically dependent continuant'?	Yes	sexually dimorphic	specifically dependent continuant	PATO	specifically dependent continuant
Is 'spongy' a 'process'?	No	spongy	specifically dependent continuant	PATO	process
