Timestamp	Which of these positions do you currently hold?	In which of these domains do you work? (If multiple, select the one in which you do the most work.)	Is an 'untufted pyramidal neuron' an 'anatomical entity'?	Is an 'owl' an 'information content entity'?	Is a 'pink lentil' an 'anatomical entity'?	Is a 'sea urchin' a 'characteristic'?	Is a 'turkish snail' an 'anatomical entity'?	Is a 'foramen nutritium' a 'characteristic'?	Is a 'malleus cartilage element' an 'anatomical entity'?	Is a 'mesopodium bone' a 'generically dependent continuant'?	Is a 'neural lamina' an 'anatomical entity'?	Is a 'surangular bone' a 'specifically dependent continuant'?	Is a 'cell transfer function' a 'characteristic'?	Is a 'cytological stain role' an 'information content entity'?	Is 'increased volume' a 'characteristic'?	Is 'fibrotic' an 'occurrent'?	Is 'generalized' a 'characteristic'?	Is 'peg-like' a 'material entity'?	Is 'prominent' a 'characteristic'?	Is 'broken into two pieces' a 'generically dependent continuant'?	Is 'size' a 'characteristic'?	Is 'superficial' a 'process'?	Is a 'datum label' a 'generically dependent continuant'?	Is a 'dot plot' a 'generically dependent continuant'?	Is a 'mass measurement datum' a 'generically dependent continuant'?	Is a 'results section' a 'generically dependent continuant'?	Is an 'age since germination measurement datum' a 'generically dependent continuant'?	Is a 'food' an 'independent continuant'?	Is a 'sapodilla plant' an 'independent continuant'?	Is a 'microbicide' an 'independent continuant'?	Is a 'decapitated organism' an 'independent continuant'?	Is a 'mass selective detector' an 'independent continuant'?	Is an 'abstract' an 'information content entity'?	Is a 'citation' an 'information content entity'?	Is an 'integer numeral' an 'information content entity'?	Is a 'report' an 'information content entity'?	Is an 'average value' an 'information content entity'?	Is a 'histaminergic neuron' a 'material entity'?	Is a 'beerwurst' a 'material entity'?	Is an 'infection' a 'material entity'?	Is a 'container with environmental control' a 'material entity'?	Is a 'glomerular epithelium' a 'material entity'?	Is a 'colonization of host' an 'occurrent'?	Is an 'infectious disease pandemic' an 'occurrent'?	Is an 'ATP bioluminescence assay' an 'occurrent'?	Is a 'ferritin assay' an 'occurrent'?	Is a 'methemoglobin assay' an 'occurrent'?	Is 'boiling without draining' a 'process'?	Is an 'acute infectious disease course' a 'process'?	Is an 'assay measuring binding of a MHC:ligand complex' a 'process'?	Is a 'chromosome conformation capture-on-chip assay' a 'process'?	Is a 'polyA RNA extraction' a 'process'?	Is 'blistered' a 'specifically dependent continuant'?	Is 'elliptic' a 'specifically dependent continuant'?	Is a 'trial statistician role' a 'specifically dependent continuant'?	Is 'receptivity' a 'specifically dependent continuant'?	Is 'sexually dimorphic' a 'specifically dependent continuant'?	Is a 'dendrogram' an 'anatomical entity'?	Is a 'heatmap' a 'characteristic'?	Is a 'programming language' a 'process'?	Is a 'scatter plot' a 'material entity'?	Is an 'extraction date' a 'characteristic'?	Is a 'lime marmalade' a 'specifically dependent continuant'?	Is a 'disinfectant' an 'information content entity'?	Is an 'automatic staining machine' a 'specifically dependent continuant'?	Is a 'homogenizer' an 'occurrent'?	Is a 'respiratory system mucosa' a 'process'?	Is a 'centrally registered identifier symbol' an 'independent continuant'?	Is a 'graph' an 'independent continuant'?	Is a 'photograph' a 'material entity'?	Is a 'software script' an 'anatomical entity'?	Is a 'service provision objective' a 'specifically dependent continuant'?	Is a 'macular hair cell' a 'generically dependent continuant'?	Is 'sausage casing' an 'information content entity'?	Is a 'primary pathogen' an 'occurrent'?	Is a 'laboratory coat' an 'occurrent'?	Is a 'uvular muscle' a 'generically dependent continuant'?	Is an 'establishment of a clinically abnormal colony' a 'material entity'?	Is an 'artificially induced methylation' an 'independent continuant'?	Is a 'body mass change assay' an 'information content entity'?	Is an 'isolation of cell culture supernatant' a 'specifically dependent continuant'?	Is a 'polynomial transformation' a 'generically dependent continuant'?	Is 'assigning a centrally registered identifier' an 'anatomical entity'?	Is a 'severe sepsis' an 'anatomical entity'?	Is a 'binding assay using fluorescence detection' an 'independent continuant'?	Is a 'lyophilization storage' a 'characteristic'?	Is a 'venous blood creatine kinase assay' an 'independent continuant'?	Is 'scaly' a 'process'?	Is 'friable' an 'occurrent'?	Is 'phosphorylation' an 'anatomical entity'?	Is 'refractile' a 'material entity'?	Is 'spongy' a 'process'?
7/8/2026 17:43:45	Postdoctoral fellow	Biomedical science (experimentation, data generation, etc.)	Yes	Yes	No	No	No	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	No	Yes	No	Yes	No	Yes	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	I would have to guess	Yes	Yes	No	Yes	I would have to guess	Yes	Yes	Yes	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	Yes	Yes	No	No	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	No	I would have to guess	No	I would have to guess	I would have to guess	No	No	I would have to guess	No	I would have to guess	No	No	No	No	No
7/8/2026 18:28:41	Postdoctoral fellow	Biomedical science (experimentation, data generation, etc.)	Yes	No	No	No	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	No	I would have to guess	Yes	I would have to guess	No	No	Yes	I would have to guess	Yes	No	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	I would have to guess	Yes	Yes	I would have to guess	No	I would have to guess	Yes	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	No	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	No	Yes	No	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	No	No	I would have to guess	No	I would have to guess	No	I would have to guess	No	I would have to guess	No
7/9/2026 5:08:31	Postdoctoral fellow	Data science (data analysis, data harmonization/integration, etc.)	I would have to guess	No	No	No	No	No	Yes	I would have to guess	Yes	I would have to guess	No	I would have to guess	Yes	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	No	Yes	Yes	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	No	No	I would have to guess	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	I would have to guess	No	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	No
7/9/2026 5:21:47	Professor	Biomedical science (experimentation, data generation, etc.)	Yes	No	No	No	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	Yes	No	No	No	Yes	No	No	No	I would have to guess	Yes	No	No	No	I would have to guess	No	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	Yes	Yes	Yes	Yes	No	Yes	No	I would have to guess	No	Yes	Yes	No	I would have to guess	No	Yes	Yes	Yes	Yes	Yes	No	No	No	I would have to guess	I would have to guess	No	No	No	No	No	No	No	I would have to guess	No	No	No	No	Yes	No	I would have to guess	No	No	Yes	No	I would have to guess	No	I would have to guess	No	Yes	I would have to guess	No	No	No	No	No	No	No	No	No	No
7/9/2026 6:45:40	Postdoctoral fellow	Biomedical science (experimentation, data generation, etc.)	Yes	No	No	No	No	No	I would have to guess	I would have to guess	Yes	I would have to guess	No	No	No	No	No	No	No	No	Yes	No	No	I would have to guess	I would have to guess	No	No	No	I would have to guess	I would have to guess	No	I would have to guess	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	I would have to guess	Yes	No	No	No	I would have to guess	No	No	I would have to guess	Yes	No	I would have to guess	No	No	I would have to guess	No	No	No	No	No	No	No	I would have to guess	No	No	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	No	No	I would have to guess	No	I would have to guess	No	No	No	No	No	I would have to guess	No	No	No	I would have to guess	No	No	No
7/9/2026 12:10:53	Postdoctoral fellow	Biomedical science (experimentation, data generation, etc.)	I would have to guess	Yes	Yes	No	Yes	Yes	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	Yes	Yes	Yes	I would have to guess	Yes	Yes	Yes	No	Yes	No	I would have to guess	Yes	Yes	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	Yes	Yes	No	I would have to guess	Yes	Yes	I would have to guess	Yes	Yes	I would have to guess	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	No	No	No	Yes	Yes	Yes	Yes	Yes	I would have to guess	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	Yes	I would have to guess	Yes	Yes	I would have to guess	Yes	Yes	No	I would have to guess	I would have to guess	No	Yes	I would have to guess	Yes	Yes	No	I would have to guess	Yes	I would have to guess	Yes
7/9/2026 15:35:21	Associate Director of Data Science	Data science (data analysis, data harmonization/integration, etc.)	No	I would have to guess	I would have to guess	No	No	No	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	Yes	No	Yes	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	I would have to guess	I would have to guess	No	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	I would have to guess	No	I would have to guess	No	I would have to guess	No	I would have to guess	No
7/9/2026 15:40:12	PhD candidate and research professional	Ontology development	Yes	I would have to guess	I would have to guess	No		No	Yes	No	Yes	No	No	No	Yes	No	Yes	No	Yes	No	I would have to guess	No	Yes	Yes	Yes	Yes	Yes	I would have to guess	Yes	Yes	Yes		Yes	I would have to guess	No	I would have to guess	Yes	Yes	I would have to guess	I would have to guess	Yes	Yes	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	I would have to guess	I would have to guess	Yes	Yes	I would have to guess	Yes	I would have to guess	Yes	No	No	No	No	No	No	No	No	I would have to guess	No	No	No	I would have to guess	No	No	No	No	No	No	No	No	No	I would have to guess	No	I would have to guess	No	No	No	I would have to guess	No	No	No	No	No	No
7/10/2026 3:37:34	Assistant professor, industry	Data science (data analysis, data harmonization/integration, etc.)	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	Yes	No	I would have to guess	No	Yes	I would have to guess	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	I would have to guess	No	Yes	Yes	Yes	I would have to guess	Yes	Yes	Yes	No	No	No	No	Yes	No	No	I would have to guess	No	No	No	No	Yes	No	I would have to guess	No	I would have to guess	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
7/10/2026 17:24:51	Technician/specialist	Ontology development	Yes	No	I would have to guess	No	Yes	I would have to guess	Yes	I would have to guess	Yes	No	I would have to guess	No	Yes	No	Yes	No	Yes	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	No	I would have to guess	Yes	Yes	Yes	I would have to guess	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	I would have to guess	I would have to guess	No	No	Yes	Yes	No	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	I would have to guess	No	No	No	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	No	No	No	No	I would have to guess	No	No	No	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	I would have to guess	No	No	No	No	No
7/13/2026 15:23:41	Data Scientist	Data science (data analysis, data harmonization/integration, etc.)	Yes	No	No	No	No	I would have to guess	Yes	No	Yes	Yes	Yes	No	Yes	No	I would have to guess	No	Yes	No	Yes	No	Yes	No	Yes	No	No	I would have to guess	Yes	No	No	I would have to guess	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	I would have to guess	No	No	No	No	No	No	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	I would have to guess	No	No	No	I would have to guess	No	No	No	No	No	No	No	No	No	No	No	I would have to guess	No	No	No
7/13/2026 16:10:20	Scientific program manager	Data science (data analysis, data harmonization/integration, etc.)	Yes	Yes	No	No	No	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	Yes	No	Yes	I would have to guess	Yes	No	Yes	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	Yes	Yes	Yes	Yes	No	Yes	I would have to guess	Yes	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	No	I would have to guess	No	Yes	I would have to guess	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	Yes	No	I would have to guess		No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	No	No	I would have to guess	No	Yes	No	No	No	No	No
7/13/2026 17:09:54	Senior Project Manager	project management	I would have to guess	I would have to guess	No	No	No	I would have to guess	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	I would have to guess	Yes	Yes	Yes	Yes	I would have to guess	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	Yes	Yes	Yes	Yes	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	Yes	No	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	No	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	No	I would have to guess	No
7/14/2026 7:19:05	Research manager	Data science (data analysis, data harmonization/integration, etc.)	Yes	I would have to guess	No	No	No	I would have to guess	Yes	I would have to guess	Yes	I would have to guess	I would have to guess	No	Yes	I would have to guess	No	No	No	I would have to guess	Yes	I would have to guess	I would have to guess	I would have to guess	I would have to guess	No	I would have to guess	No	No	No	I would have to guess	No	Yes	Yes	Yes	Yes	I would have to guess	Yes	I would have to guess	No	I would have to guess	I would have to guess	Yes	I would have to guess	I would have to guess	No	No	Yes	I would have to guess	I would have to guess	Yes	Yes	No	I would have to guess	No	I would have to guess	I would have to guess	No	No	No	I would have to guess	Yes	I would have to guess	No	I would have to guess	No	No	I would have to guess	I would have to guess	Yes	No	No	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	No	I would have to guess	I would have to guess	I would have to guess	No	No	No	Yes	No	No	I would have to guess	No	I would have to guess	No
